project_name_csv,file_path_csv,project_and_file,touched_by,se_engineers,ml_engineers,hybrid_engineers,num_se_engineer,num_ml_engineer,num_hybrid_engineer,pct_se_engineer,pct_ml_engineer,pct_hybrid_engineer,loc,cc_avg,cc_max,py2_suspected,complexity_tool,bugs_introduced,bugfix_commits_touching_file,deadcode_items_attribute,deadcode_items_class,deadcode_items_function,deadcode_items_other,deadcode_items_property,deadcode_items_total,deadcode_items_variable,design_smell_broken_hierarchy,design_smell_broken_modularization,design_smell_deep_hierarchy,design_smell_deficient_encapsulation,design_smell_feature_envy,design_smell_hub_like_modularization,design_smell_insufficient_modularization,design_smell_multifaceted_abstraction,design_smell_rebellious_hierarchy,design_smell_wide_hierarchy,file_path,impl_smell_complex_conditional,impl_smell_complex_method,impl_smell_empty_catch_clause,impl_smell_long_identifier,impl_smell_long_lambda_function,impl_smell_long_message_chain,impl_smell_long_method,impl_smell_long_parameter_list,impl_smell_long_statement,impl_smell_magic_number,impl_smell_missing_default,mlsmell_broadcasting_feature_not_used,mlsmell_chain_indexing,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_dataframe_conversion_api_misused,mlsmell_deterministic_algorithm_option_not_used,mlsmell_empty_column_misinitialization,mlsmell_gradients_not_cleared,mlsmell_hyperparameters_not_explicitly_set,mlsmell_in_place_apis_misused,mlsmell_matrix_multiplication_api_misused,mlsmell_memory_not_freed,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_nan_equivalence_comparison_misused,mlsmell_pytorch_call_method_misused,mlsmell_tensor_array_not_used,mlsmell_unnecessary_iteration,project_name,vuln_bandit_issues_high,vuln_bandit_issues_low,vuln_bandit_issues_medium,vuln_bandit_issues_total,vuln_bandit_test_ids
AVAuco laeonet,utils/model_utils.py,AVAuco laeonet::utils/model_utils.py,['mjmarin'],[],[],['mjmarin'],0,0,1,0.0,0.0,1.0,210.0,7.333333333333333,20.0,False,radon,0,0,16,2,20,12,0,71,21,0,3,0,8,0,0,0,3,0,0,utils/model_utils.py,1,24,0,8,0,0,9,17,178,412,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,AVAuco laeonet,0,0,0,0,0
Abhishekmamidi123 Time Series Forecasting,Maharashtra/ARIMA.py,Abhishekmamidi123 Time Series Forecasting::Maharashtra/ARIMA.py,['Abhishekmamidi'],[],['Abhishekmamidi'],[],0,1,0,0.0,1.0,0.0,126.0,2.0,6.0,False,radon,0,0,0,0,4,8,0,15,3,0,0,0,0,0,0,1,0,0,0,Maharashtra/ARIMA.py,0,1,0,0,0,0,1,5,15,22,0,0,9,8,0,0,0,0,2,2,0,0,0,0,0,0,0,Abhishekmamidi123 Time Series Forecasting,0,0,0,0,0
Abhishekmamidi123 Time Series Forecasting,Maharashtra/Artificial_Neural_Networks.py,Abhishekmamidi123 Time Series Forecasting::Maharashtra/Artificial_Neural_Networks.py,['Abhishekmamidi'],[],['Abhishekmamidi'],[],0,1,0,0.0,1.0,0.0,826.0,2.324324324324324,9.0,False,radon,2,1,0,0,24,40,0,80,16,0,0,0,0,0,0,6,0,0,0,Maharashtra/Artificial_Neural_Networks.py,0,6,0,2,0,0,6,31,88,131,0,0,61,47,0,0,0,0,13,11,0,0,0,0,0,0,0,Abhishekmamidi123 Time Series Forecasting,0,0,0,0,0
Abhishekmamidi123 Time Series Forecasting,Maharashtra_rainy_season_analysis/ARIMA.py,Abhishekmamidi123 Time Series Forecasting::Maharashtra_rainy_season_analysis/ARIMA.py,['Abhishekmamidi'],[],['Abhishekmamidi'],[],0,1,0,0.0,1.0,0.0,126.0,2.0,6.0,False,radon,0,0,0,0,8,16,0,30,6,0,0,0,0,0,0,2,0,0,0,Maharashtra_rainy_season_analysis/ARIMA.py,0,2,0,0,0,0,2,10,30,44,0,0,18,16,0,0,0,0,4,4,0,0,0,0,0,0,0,Abhishekmamidi123 Time Series Forecasting,0,0,0,0,0
Abhishekmamidi123 Time Series Forecasting,Maharashtra_rainy_season_analysis/Artificial_Neural_Networks.py,Abhishekmamidi123 Time Series Forecasting::Maharashtra_rainy_season_analysis/Artificial_Neural_Networks.py,['Abhishekmamidi'],[],['Abhishekmamidi'],[],0,1,0,0.0,1.0,0.0,701.0,2.3,8.0,False,radon,0,0,0,0,8,16,0,30,6,0,0,0,0,0,0,2,0,0,0,Maharashtra_rainy_season_analysis/Artificial_Neural_Networks.py,0,2,0,0,0,0,2,10,30,44,0,0,18,16,0,0,0,0,4,4,0,0,0,0,0,0,0,Abhishekmamidi123 Time Series Forecasting,0,0,0,0,0
Barqawiz Snnapy2 Filters,Demo.py,Barqawiz Snnapy2 Filters::Demo.py,"['Ahmad Albarqawi', 'Ahmad Barqawi']","['Ahmad Albarqawi', 'Ahmad Barqawi']",[],[],2,0,0,1.0,0.0,0.0,71.0,1.0,1.0,False,radon,0,0,0,0,0,10,0,62,52,0,5,0,0,5,0,0,5,0,0,Demo.py,0,15,0,0,0,0,5,14,107,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barqawiz Snnapy2 Filters,0,0,0,0,0
Barqawiz Snnapy2 Filters,setup.py,Barqawiz Snnapy2 Filters::setup.py,"['Ahmad Albarqawi', 'Ahmad Barqawi', 'cybercoder']","['Ahmad Albarqawi', 'Ahmad Barqawi', 'cybercoder']",[],[],3,0,0,1.0,0.0,0.0,29.0,3.0,3.0,False,radon,0,0,0,4,0,18,0,99,77,0,7,0,0,7,0,0,7,0,0,setup.py,0,21,0,0,0,0,7,21,166,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barqawiz Snnapy2 Filters,0,0,0,0,0
Barqawiz Snnapy2 Filters,snappy2/Snappy2.py,Barqawiz Snnapy2 Filters::snappy2/Snappy2.py,"['Ahmad Albarqawi', 'Ahmad Barqawi']","['Ahmad Albarqawi', 'Ahmad Barqawi']",[],[],2,0,0,1.0,0.0,0.0,228.0,3.8,9.0,False,radon,0,0,0,0,0,6,0,38,32,0,3,0,0,3,0,0,3,0,0,snappy2/Snappy2.py,0,9,0,0,0,0,3,9,65,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barqawiz Snnapy2 Filters,0,0,0,0,0
Barqawiz Snnapy2 Filters,snappy2/controls/Detector.py,Barqawiz Snnapy2 Filters::snappy2/controls/Detector.py,['Ahmad Barqawi'],['Ahmad Barqawi'],[],[],1,0,0,1.0,0.0,0.0,107.0,2.25,3.0,False,radon,0,0,0,0,0,2,0,12,10,0,1,0,0,1,0,0,1,0,0,snappy2/controls/Detector.py,0,3,0,0,0,0,1,3,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barqawiz Snnapy2 Filters,0,0,0,0,0
Barqawiz Snnapy2 Filters,snappy2/controls/FacePainter.py,Barqawiz Snnapy2 Filters::snappy2/controls/FacePainter.py,['Ahmad Barqawi'],['Ahmad Barqawi'],[],[],1,0,0,1.0,0.0,0.0,249.0,2.75,12.0,False,radon,0,0,0,0,0,2,0,12,10,0,1,0,0,1,0,0,1,0,0,snappy2/controls/FacePainter.py,0,3,0,0,0,0,1,3,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barqawiz Snnapy2 Filters,0,0,0,0,0
